               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053202,            0.038712,           0.0024462,             0.64887,             0.52619,             0.57106,             0.30382,            0.039329,            0.024931,          0.00035622,            0.003333,            0.003333,            0.070003
                   1,            0.044368,             0.03739,          0.00047565,              0.6796,             0.60914,             0.65394,             0.34949,            0.038587,            0.025173,          0.00025182,           0.0060064,           0.0060064,            0.039343
                   2,            0.044778,            0.038903,          0.00040244,              0.7043,             0.61712,             0.67714,             0.36356,             0.03867,            0.025599,          0.00018796,           0.0080198,           0.0080198,           0.0080228
                   3,            0.044184,            0.039107,          0.00032158,             0.73055,             0.61489,             0.68815,             0.37042,            0.038094,            0.025502,          0.00012406,             0.00703,             0.00703,             0.00703
                   4,             0.04319,            0.038546,          0.00025874,             0.70212,             0.65399,             0.69923,             0.38569,            0.037537,            0.025242,          9.6897e-05,             0.00703,             0.00703,             0.00703
                   5,            0.042149,            0.038053,          0.00020405,             0.72828,             0.65376,             0.71552,             0.39582,            0.036933,            0.024799,           7.557e-05,             0.00604,             0.00604,             0.00604
                   6,            0.041242,            0.037503,          0.00017701,              0.7342,             0.66706,             0.73014,             0.41037,             0.03648,            0.024526,          6.0452e-05,             0.00505,             0.00505,             0.00505
                   7,            0.040502,             0.03701,          0.00013953,             0.74307,             0.67773,             0.74404,             0.41935,            0.036084,            0.024293,          4.8627e-05,             0.00406,             0.00406,             0.00406
                   8,            0.039748,             0.03638,          0.00010862,               0.752,             0.68527,             0.75382,             0.42718,            0.035785,            0.024063,          4.0831e-05,             0.00307,             0.00307,             0.00307
                   9,             0.03909,            0.035932,          9.2343e-05,             0.75258,             0.68921,               0.756,             0.43051,            0.035564,            0.023923,          3.5138e-05,             0.00208,             0.00208,             0.00208
